Title,Location,Price_EUR,Size_sqm,Price_EUR_per_sqm,Floor,Total_floors,Year_built,Info,Link,Scraped_Date,First_Seen_Date,Price_History,Site price history,Sold,Image_Paths
"Продава 3-СТАЕН град София, Младост 1",Младост 1,275000.0,90,3055.56,3,10.0,1992,"90 кв.м, 3-ти ет. от 10, ТЕЦ, Въведен в експлоатация 1992 г., Предлагаме за продажба апартамент , който се стои от хол с кухненски бокс с камина на дърва, малка т ..., тел.: 0885157493",https://www.imot.bg/obiava-1c165840774972388-prodava-tristaen-apartament-grad-sofiya-mladost-1,2026-05-06,2026-05-06,"275,000 € (2026-05-06)",,True,
"Продава 3-СТАЕН град София, Младост 4",Младост 4,274987.0,125,2199.9,10,11.0,2026,"125 кв.м, 10-ти ет. от 11, ТЕЦ, Въведен в експлоатация 2026 г., Тристаен апартамент състоящ се от: коридор, дневна с трапезария и кухненски бокс, две спални, дрешни ..., тел.: 088 21 21 450",https://www.imot.bg/obiava-1c172060062529571-prodava-tristaen-apartament-grad-sofiya-mladost-4,2026-05-06,2026-05-06,"274,987 € (2026-05-06)",Начална цена: 258 500 | 23.05.2025г. в 13.00 ч. (+ 10 000) - 222 483 € | 20.06.2025г. в 16.20 ч. (+ 17 517) - 240 000 € | 22.01.2026г. в 16.45 ч. (+ 9 980) - 249 980 € | 04.02.2026г. в 13.30 ч. (+ 8 520) - 258 500 € | 17.02.2026г. в 12.40 ч. (+ 16 487) - 274 987 €,True,
"Продава 3-СТАЕН град София, Младост 4",Младост 4,264775.0,113,2343.14,3,10.0,2026,"113 кв.м, 3-ти ет. от 10, Газ, Въведен в експлоатация 2026 г., Функционален тристаен апартаментвече с АКТ 14. Разположен е на трети етаж. Състои се от: хол с трапе ..., тел.: 088 21 21 488",https://www.imot.bg/obiava-1c173987012593007-prodava-tristaen-apartament-grad-sofiya-mladost-4,2026-05-06,2026-05-06,"264,775 € (2026-05-06)",Начална цена: 253 508 | 16.05.2025г. в 11.40 ч. (+ 22 534) - 253 508 € | 09.01.2026г. в 16.45 ч. (+ 11 267) - 264 775 €,True,
"Продава 3-СТАЕН град София, Младост 4",Младост 4,276572.0,118,2343.83,3,9.0,2026,"118 кв.м, 3-ти ет. от 9, Газ, Въведен в експлоатация 2026 г., Функционален тристаен апартамент вече с АКТ 14. Разположен е на трети етаж. Състои се от: хол с трап ..., тел.: 088 21 21 488",https://www.imot.bg/obiava-1c173987014670733-prodava-tristaen-apartament-grad-sofiya-mladost-4,2026-05-06,2026-05-06,"276,572 € (2026-05-06)",Начална цена: 264 803 | 16.05.2025г. в 11.25 ч. (+ 23 538) - 264 803 € | 09.01.2026г. в 16.45 ч. (+ 11 769) - 276 572 €,True,
"Продава 3-СТАЕН град София, Младост 4",Младост 4,267665.0,114,2347.94,5,10.0,2026,"114 кв.м, 5-ти ет. от 10, Газ, Въведен в експлоатация 2026 г., Функционален тристаен апартамент ВЕЧЕ С АКТ 14. Разположен е на трети етаж. Състои се от: хол с трап ..., тел.: 088 21 21 488",https://www.imot.bg/obiava-1c173987016663347-prodava-tristaen-apartament-grad-sofiya-mladost-4,2026-05-06,2026-05-06,"267,665 € (2026-05-06)",Начална цена: 256 275 | 16.05.2025г. в 11.25 ч. (+ 22 780) - 256 275 € | 09.01.2026г. в 16.50 ч. (+ 11 390) - 267 665 €,True,
"Продава 3-СТАЕН град София, Младост 4",Младост 4,267665.0,114,2347.94,6,10.0,2026,"114 кв.м, 6-ти ет. от 10, Газ, Въведен в експлоатация 2026 г., Функционален тристаен апартамент ВЕЧЕ С АКТ 14. Разположен е на шести етаж. Състои се от: хол с трап ..., тел.: 088 21 21 488",https://www.imot.bg/obiava-1c173987019796906-prodava-tristaen-apartament-grad-sofiya-mladost-4,2026-05-06,2026-05-06,"267,665 € (2026-05-06)",Начална цена: 256 275 | 16.05.2025г. в 11.30 ч. (+ 19 780) - 253 275 € | 21.07.2025г. в 15.41 ч. (+ 3 000) - 256 275 € | 09.01.2026г. в 16.50 ч. (+ 11 390) - 267 665 €,True,
"Продава 3-СТАЕН град София, Младост 4",Младост 4,226775.0,97,2337.89,2,9.0,2026,"97 кв.м, 2-ри ет. от 9, Газ, Въведен в експлоатация 2026 г., ВЕЧЕ С АКТ 14. Функционален тристаен апартамент. Разположен е на втори етаж. Състои се от: хол с тра ..., тел.: 088 21 21 488",https://www.imot.bg/obiava-1c173987024340120-prodava-tristaen-apartament-grad-sofiya-mladost-4,2026-05-06,2026-05-06,"226,775 € (2026-05-06)",Начална цена: 221 950 | 16.05.2025г. в 11.35 ч. (+ 19 300) - 217 125 € | 20.09.2025г. в 11.40 ч. (+ 4 825) - 221 950 € | 09.01.2026г. в 16.30 ч. (+ 4 825) - 226 775 €,True,
"Продава 3-СТАЕН град София, Младост 4",Младост 4,263802.0,126,2093.67,4,9.0,2025,"126 кв.м, 4-ти ет. от 9, ТЕЦ, Въведен в експлоатация 2025 г., Представяме на Вашето внимание тристаен апартамент в кв.Младост 4  ЗП е 91.41, а ЧП е 72.97  Изложен ..., тел.: 0885706434",https://www.imot.bg/obiava-1c174024848945987-prodava-tristaen-apartament-grad-sofiya-mladost-4,2026-05-06,2026-05-06,"263,802 € (2026-05-06)",,True,
"Продава 3-СТАЕН град София, Младост 2",Младост 2,240000.0,87,2758.62,4,8.0,1970 - 1979,"87 кв.м, 4-ти ет. от 8, ТЕЦ, Въведен в експлоатация 1970 - 1979 г., ПРОСТОРЕН 3-СТАЕН ДО МЕТРОСТАНЦИЯ И РУМ МЛАДОСТ 2  СОФИЯ ПРОПЪРТИ представя светъл и просторен трист ..., тел.: 0893375333",https://www.imot.bg/obiava-1c174639672082106-prodava-tristaen-apartament-grad-sofiya-mladost-2,2026-05-06,2026-05-06,"240,000 € (2026-05-06)",,True,"images/802c9dae3198/1.jpg,images/802c9dae3198/2.jpg,images/802c9dae3198/3.jpg"
"Продава 3-СТАЕН град София, Младост 4",Младост 4,267665.0,114,2347.94,4,10.0,2026,"114 кв.м, 4-ти ет. от 10, Газ, Въведен в експлоатация 2026 г., Функционален тристаен апартаментвече с АКТ 14. Разположен е на четвърти етаж. Състои се от: хол с тр ..., тел.: 088 21 21 488",https://www.imot.bg/obiava-1c174739027293302-prodava-tristaen-apartament-grad-sofiya-mladost-4,2026-05-06,2026-05-06,"267,665 € (2026-05-06)",Начална цена: 256 275 | 09.01.2026г. в 16.45 ч. (+ 11 390) - 267 665 €,True,
"Продава 3-СТАЕН град София, Младост 1",Младост 1,225000.0,90,2500.0,7,8.0,1980 - 1989,"90 кв.м, 7-ми ет. от 8, ТЕЦ, Въведен в експлоатация 1980 - 1989 г., 🌆 **Би Пи Си предлага 3-стаен апартамент за ремонт в Младост 1** 🌆  Предлагаме ви пр ..., тел.: 0897850093",https://www.imot.bg/obiava-1c175145723451668-prodava-tristaen-apartament-grad-sofiya-mladost-1,2026-05-06,2026-05-06,"225,000 € (2026-05-06)",,True,
"Продава 3-СТАЕН град София, Младост 2",Младост 2,280000.0,100,2800.0,6,7.0,2005,"100 кв.м, ул. Свети Киприян, 6-ти ет. от 7, Въведен в експлоатация 2005 г., Близо до метростанция Ал. Малинов (5мин.). След РЕМОНТ! ХОЛ (климатик, камина, мека мебел) с кухненс ..., тел.: 0884525989",https://www.imot.bg/obiava-1c175154028520693-prodava-tristaen-apartament-grad-sofiya-mladost-2-ul-sveti-kipriyan,2026-05-06,2026-05-06,"280,000 € (2026-05-06)",,True,"images/e7e20edb3b0e/1.jpg,images/e7e20edb3b0e/2.jpg,images/e7e20edb3b0e/3.jpg"
"Продава 3-СТАЕН град София, Дървеница",Дървеница,244800.0,96,2550.0,5,6.0,2025,"96 кв.м, 5-ти ет. от 6, Въведен в експлоатация 2025 г., ИМА АКТ 16.Директен договор с Инвеститора!  Без комисион! АПАРТАМЕНТИТЕ са завършени! Близо до УНСС  ..., тел.: 0877010187",https://www.imot.bg/obiava-1c175662049165268-prodava-tristaen-apartament-grad-sofiya-darvenitsa,2026-05-06,2026-05-06,"244,800 € (2026-05-06)",,True,
"Продава 3-СТАЕН град София, Младост 1",Младост 1,229000.0,88,2602.27,3,8.0,1970 - 1979,"88 кв.м, ул. Йерусалим, 3-ти ет. от 8, ТЕЦ, Въведен в експлоатация 1970 - 1979 г., '3mo недвижими имоти' продава просторен тристаен (88 кв. м. застроена площ), непреходен апартамент в ..., тел.: 0877499809",https://www.imot.bg/obiava-1c175687968128664-prodava-tristaen-apartament-grad-sofiya-mladost-1-ul-yerusalim,2026-05-06,2026-05-06,"229,000 € (2026-05-06)",,True,
"Продава 3-СТАЕН град София, Дървеница",Дървеница,230000.0,99,2323.23,1,7.0,,"99 кв.м, 1-ви ет. от 7, Въведен в експлоатация, Компания ЕКС представя на Вашето внимание тристаен апартамент с характер   ж.к. Дървеница, София  В  ..., тел.: 0887 77 99 90",https://www.imot.bg/obiava-1c175906933309490-prodava-tristaen-apartament-grad-sofiya-darvenitsa,2026-05-06,2026-05-06,"230,000 € (2026-05-06)",Начална цена: 235 000 | 22.11.2025г. в 17.12 ч. (- 5 000) - 230 000 €,True,
"Продава 3-СТАЕН град София, Младост 4",Младост 4,279900.0,89,3144.94,5,8.0,1980 - 1989,"89 кв.м, 5-ти ет. от 8, ТЕЦ, Въведен в експлоатация 1980 - 1989 г., ПРОСТОРЕН, ОБЗАВЕДЕН апартамент в панелна сграда от 1985 г. на ет.5 от 8 с асансьор на комуникативно ..., тел.: 02/9880605 АЛДЕС",https://www.imot.bg/obiava-1c175922669689196-prodava-tristaen-apartament-grad-sofiya-mladost-4,2026-05-06,2026-05-06,"279,900 € (2026-05-06)",Начална цена: 279 999 | 16.10.2025г. в 16.41 ч. (- 10 999) - 269 000 € | 25.11.2025г. в 16.31 ч. (+ 10 900) - 279 900 €,True,
"Продава 3-СТАЕН град София, Младост 1",Младост 1,272000.0,87,3126.44,1,8.0,1980 - 1989,"87 кв.м, 1-ви ет. от 8, ТЕЦ, Въведен в експлоатация 1980 - 1989 г., 📌 Референтен номер: 2098243  ❗ Революшън Естейт представя тристаен апартамент в ж.к.  ..., тел.: 0899 500 900",https://www.imot.bg/obiava-1c176044882445414-prodava-tristaen-apartament-grad-sofiya-mladost-1,2026-05-06,2026-05-06,"272,000 € (2026-05-06)",,True,
"Продава 3-СТАЕН град София, Младост 4",Младост 4,225000.0,88,2556.82,2,8.0,1980 - 1989,"88 кв.м, 2-ри ет. от 8, ТЕЦ, Въведен в експлоатация 1980 - 1989 г., ЕРА Голд има удоволствието да Ви представи тристаен апартамент с отделна кухня под наем в кв. Младос ..., тел.: 0889115777",https://www.imot.bg/obiava-1c176190660638672-prodava-tristaen-apartament-grad-sofiya-mladost-4,2026-05-06,2026-05-06,"225,000 € (2026-05-06)",Начална цена: 220 000 | 03.11.2025г. в 12.50 ч. (+ 5 000) - 225 000 €,True,
"Продава 3-СТАЕН град София, Дървеница",Дървеница,250500.0,96,2609.38,2,5.0,,"96 кв.м, 2-ри ет. от 5, ТЕЦ, Въведен в експлоатация, Агенция SUPRIMMO: www.suprimmo.bg Представяме комфортен тристаен апартамент за продажба в нова сград ..., тел.: 0882638448",https://www.imot.bg/obiava-1c176296323834308-prodava-tristaen-apartament-grad-sofiya-darvenitsa,2026-05-06,2026-05-06,"250,500 € (2026-05-06)",Начална цена: 245 000 | 27.11.2025г. в 22.34 ч. (+ 20 000) - 245 000 € | 05.01.2026г. в 22.38 ч. (+ 5 500) - 250 500 €,True,
"Продава 3-СТАЕН град София, Младост 1А",Младост 1А,275000.0,101,2722.77,2,8.0,1980 - 1989,"101 кв.м, 2-ри ет. от 8, ТЕЦ, Въведен в експлоатация 1980 - 1989 г., Преустроен на четиристаен апартамент с усвоена голяма покривна тераса над магазина на партера. Усвое ..., тел.: 0878430485",https://www.imot.bg/obiava-1c176397486810061-prodava-tristaen-apartament-grad-sofiya-mladost-1a,2026-05-06,2026-05-06,"275,000 € (2026-05-06)",,True,
"Продава 3-СТАЕН град София, Младост 2",Младост 2,280000.0,111,2522.52,6,7.0,,"111 кв.м, 6-ти ет. от 7, ТЕЦ, Въведен в експлоатация, RE/MAX Alliance представя на вашето внимание просторен и напълно обзаведен тристаен апартамент със с ..., тел.: 0884035103",https://www.imot.bg/obiava-1c176432069391545-prodava-tristaen-apartament-grad-sofiya-mladost-2,2026-05-07,2026-05-06,"280,000 € (2026-05-06)",,False,"images/1c176432069391545/1.jpg,images/1c176432069391545/2.jpg,images/1c176432069391545/3.jpg"
"Продава 3-СТАЕН град София, Младост 1",Младост 1,203000.0,120,1691.67,24,25.0,1980 - 1989,"120 кв.м, 24-ти ет. от 25, ТЕЦ, Въведен в експлоатация 1980 - 1989 г., Реф.   012661  Агенция за недвижими имоти BAS Properties предлага за продажба изключително просторен ..., тел.: 0899 818 212",https://www.imot.bg/obiava-1c176518903088609-prodava-tristaen-apartament-grad-sofiya-mladost-1,2026-05-06,2026-05-06,"203,000 € (2026-05-06)",,True,
"Продава 3-СТАЕН град София, Младост 1",Младост 1,209000.0,89,2348.31,1,14.0,1980 - 1989,"89 кв.м, 1-ви ет. от 14, Въведен в експлоатация 1980 - 1989 г., 353743 Тристаен апартамент за основен ремонт в ЕПК сграда, в Младост 1, на метри от бул. Александър  ..., тел.: 0883940524",https://www.imot.bg/obiava-1c176538018793761-prodava-tristaen-apartament-grad-sofiya-mladost-1,2026-05-06,2026-05-06,"209,000 € (2026-05-06)",,True,
"Продава 3-СТАЕН град София, Младост 4",Младост 4,249990.0,92,2717.28,2,8.0,1980 - 1989,"92 кв.м, ул. Д-р Атанас Москов, 2-ри ет. от 8, ТЕЦ, Въведен в експлоатация 1980 - 1989 г., Тристаен = 4-стаен апартамент за продажба в София, ж.к. Младост 4 🏙️  Детайлна информ ..., тел.: 0896555620",https://www.imot.bg/obiava-1c176543592332021-prodava-tristaen-apartament-grad-sofiya-mladost-4-ul-d-r-atanas-moskov,2026-05-06,2026-05-06,"249,990 € (2026-05-06)",,True,
"Продава 3-СТАЕН град София, Младост 3",Младост 3,254000.0,96,2645.83,15,15.0,1980 - 1989,"96 кв.м, 15-ти ет. от 15, ТЕЦ, Въведен в експлоатация 1980 - 1989 г., ARCO REAL ESTATE продава просторен тристаен апартамент, преустроен в четиристаен в кв.Младост 3, бл. ..., тел.: 0879 389 995",https://www.imot.bg/obiava-1c176822117610068-prodava-tristaen-apartament-grad-sofiya-mladost-3,2026-05-06,2026-05-06,"254,000 € (2026-05-06)",,True,
"Продава 3-СТАЕН град София, Младост 4",Младост 4,207000.0,90,2300.0,2,6.0,1970 - 1979,"90 кв.м, 2-ри ет. от 6, ТЕЦ, Въведен в експлоатация 1970 - 1979 г., Агенциията предлага на Вашето внимание просторен тристаен апартамент, който може да бъде преустроен  ..., тел.: 0884 364 241",https://www.imot.bg/obiava-1c176918085581332-prodava-tristaen-apartament-grad-sofiya-mladost-4,2026-05-06,2026-05-06,"207,000 € (2026-05-06)",,True,
"Продава 3-СТАЕН град София, Дървеница",Дървеница,250484.0,97,2582.31,4,6.0,2026,"97 кв.м, 4-ти ет. от 6, ТЕЦ, Въведен в експлоатация 2026 г., ЕКСКЛУЗИВ от Winners Reality  Представяме комфортен тристаен апартамент за продажба в нова сграда с  ..., тел.: 0894600776",https://www.imot.bg/obiava-1c176969808805938-prodava-tristaen-apartament-grad-sofiya-darvenitsa,2026-05-06,2026-05-06,"250,484 € (2026-05-06)",,True,
"Продава 3-СТАЕН град София, Младост 3",Младост 3,224990.0,102,2205.78,6,7.0,1980 - 1989,"102 кв.м, 6-ти ет. от 7, ТЕЦ, Въведен в експлоатация 1980 - 1989 г., Вита Нуова ви представя, просторен тристаен апартамент с чиста площ 91,45 кв.м. Разпределение: входн ..., тел.: 0894709539",https://www.imot.bg/obiava-1c177021045989738-prodava-tristaen-apartament-grad-sofiya-mladost-3,2026-05-06,2026-05-06,"224,990 € (2026-05-06)",,True,
